"gi_id","gi_name","upt_id","ultg_id","lat","lng","exact_map_url","provenance_source_url","verification_status"
"MTU-GI-UPT-BLI-GI-150KV-PEMECUTAN-KELOD-b5092250971ccdd1","GI 150KV PEMECUTAN KELOD","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELATAN","-8.6902197","115.1900826","https://www.google.com/maps/search/?api=1&query=-8.6902197,115.1900826","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PEMECUTAN%20KELOD&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-BLI-GI-150KV-PESANGGARAN-158430b58f6e60c7","GI 150KV PESANGGARAN","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELATAN","-8.7182299","115.2106599","https://www.google.com/maps/search/?api=1&query=-8.7182299,115.2106599","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PESANGGARAN&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-BLI-GI-150KV-SANUR-ad77a05028977661","GI 150KV SANUR","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELATAN","-8.674476","115.2537274","https://www.google.com/maps/search/?api=1&query=-8.674476,115.2537274","https://www.google.com/search?tbm=map&q=GI%20SANUR&hl=id&gl=id","verified_candidate_final"
"MTU-GI-UPT-BLI-GIS-150KV-BANDARA-NGURAHRAI-698a45f5362b598a","GIS 150KV BANDARA NGURAHRAI","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELATAN","-8.7544252","115.1707288","https://www.google.com/maps/search/?api=1&query=-8.7544252,115.1707288","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20BANDARA%20NGURAHRAI&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-BLI-GIS-150KV-CELUKAN-BAWANG-7d99c16ec4ff74f3","GIS 150KV CELUKAN BAWANG","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-UTARA","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20CELUKAN%20BAWANG&hl=id&gl=id","unverified"
"MTU-GI-UPT-BLI-GIS-150KV-PECATU-629ddec2e1597fbc","GIS 150KV PECATU","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELATAN","-8.8200221","115.141587","https://www.google.com/maps/search/?api=1&query=-8.8200221,115.141587","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PECATU&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-BLI-GIS-150KV-PESANGGARAN-97b6fd1c336eca8e","GIS 150KV PESANGGARAN","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELATAN","-8.7182299","115.2106599","https://www.google.com/maps/search/?api=1&query=-8.7182299,115.2106599","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PESANGGARAN&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-BLI-GIS-150KV-TANAH-LOT-5a23d470b99d10c3","GIS 150KV TANAH LOT","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-UTARA","-8.5869878","115.1026917","https://www.google.com/maps/search/?api=1&query=-8.5869878,115.1026917","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20TANAH%20LOT&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GI-150KV-ALTAPRIMA-c82e95980ceddb9c","GI 150KV ALTAPRIMA","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.1945148","112.6368425","https://www.google.com/maps/search/?api=1&query=-7.1945148,112.6368425","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20ALTAPRIMA&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GI-150KV-BANGKALAN","GI 150KV BANGKALAN","UPT-GRS","MTU-ULTG-UPT-GRS-SAMPANG","-7.0572488","112.7928372","https://www.google.com/maps/search/?api=1&query=-7.0572488,112.7928372","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20BANGKALAN&hl=id&gl=id","verified_candidate"
