id,normalized_name,upt_id,ultg_id
MTU-GI-UPT-MDN-GI-150KV-KERTOSONO-dc2393c713eab9d1,GI 150KV KERTOSONO,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-150KV-LAMONGAN-a3b8b065cb1c0940,GI 150KV LAMONGAN,UPT-MDN,MTU-ULTG-UPT-MDN-BABAT
MTU-GI-UPT-MDN-GI-150KV-MANISREJO,GI 150KV MANISREJO,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-150KV-MLIWANG-1f491ee5ea63067d,GI 150KV MLIWANG,UPT-MDN,MTU-ULTG-UPT-MDN-BABAT
MTU-GI-UPT-MDN-GI-150KV-NEWPACITAN-88f1d4b208729db7,GI 150KV NEWPACITAN,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-150KV-NEWPONOROGO-10277bd25a02c7c9,GI 150KV NEWPONOROGO,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-150KV-NEWTULUNGAGUNG-fa4ed2495a6e2db5,GI 150KV NEWTULUNGAGUNG,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-150KV-NGANJUK-II-7a4a9613f006aa6e,GI 150KV NGANJUK II,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-150KV-NGAWI,GI 150KV NGAWI,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-150KV-NGIMBANG,GI 150KV NGIMBANG,UPT-MDN,MTU-ULTG-UPT-MDN-BABAT
MTU-GI-UPT-MDN-GI-150KV-PACIRAN-530b7eff2f3e07db,GI 150KV PACIRAN,UPT-MDN,MTU-ULTG-UPT-MDN-BABAT
